program_id,merit
UD6481002,89.17%
UJ6481004,98.08%
UZ6481003,88.95%
UD6481003,80.50%
UD6481001,86.93%
UB6481003,79.33%
UJ6481003,70.70%
UH6481005,79.84%
UW6481001,77.01%
UJ6481002,77.08%
UA6481002,84.37%
UB6481005,77.02%
UU6481003,93.50%
UZ6481001,90.88%
UH6481001,88.75%
UH6481002,73.11%
UQ6481001,90.45%
UW6481003,71.12%
UW6481005,68.82%
UZ6525002,75.68%
UH6541001,77.04%
UE6322004,84.55%
UE6322003,80.25%
UE6322001,79.65%
UE6322002,88.30%
UU6461002,83.42%
UT6526002,87.77%
UE6811001,77.47%
UE6812001,78.80%
UE6811002,83.18%
UU6345004,72.68%
US6582004,91.83%
UE6811003,86.98%
UE6345006,86.38%
UT6341002,82.27%
UH6623001,84.44%
UH6623002,82.41%
UH6852001,82.09%
UH6543001,81.34%
UA6621001,83.49%
UH6621001,82.59%
UH6621002,75.32%
UH6622001,70.52%
UH6422001,74.47%
UM6581001,96.22%
UK6581001,91.42%
UQ6581001,83.73%
US6581001,93.24%
UB6581001,79.86%
UT6581001,91.59%
UH6581001,Tiada
UZ6222001,78.77%
UD6312001,86.38%
UK6312001,93.24%
UW6312001,78.87%
UK6312004,96.43%
UW6347001,81.38%
UK6762001,94.90%
UW6762001,79.01%
UK6321001,88.73%
UK6310001,Tiada
UK6222001,95.01%
UK6862001,Tiada
UW6345001,78.07%
UK6311001,95.28%
UK6312003,94.14%
UK6313001,98.51%
UW6313001,81.83%
UD6310001,81.09%
UE6813001,84.50%
UH6813001,79.27%
UW6421002,76.14%
US6526001,92.34%
UE6581004,78.25%
UM6312003,93.88%
UY6224002,89.85%
UY6222002,86.58%
UW6224001,83.71%
US6222002,91.38%
UY6222003,92.24%
UW6212002,76.68%
UW6222001,88.01%
UW6212001,77.52%
UK6224001,90.44%
UK6223002,97.93%
UW6210001,77.32%
UK6312002,92.00%
UK6225001,95.87%
UW6211001,78.17%
US6211001,81.42%
UW6213001,74.48%
UW6214001,73.68%
UM6224001,94.60%
UM6313001,99.81%
UM6312002,90.43%
US6224001,93.39%
UM6227003,93.04%
UM6227002,83.79%
UM6225001,94.65%
US6222001,90.48%
US6220001,96.81%
UU6227001,91.68%
UD6214001,69.75%
US6214003,92.02%
UY6581001,87.80%
UY6581004,94.41%
UE6211001,80.31%
US6212002,75.74%
US6214001,82.98%
US6213001,86.71%
US6214002,77.34%
UE6212002,74.36%
US6212001,74.55%
UE6212001,74.27%
UM6212004,80.65%
UE6214007,79.44%
UE6213002,84.17%
UE6214005,76.56%
UE6215002,83.47%
UE6214006,83.67%
UE6581002,94.32%
UT6581002,85.46%
UL6581001,85.69%
UE6215003,73.04%
UH6210002,Tiada
UE6213004,83.38%
UE6481005,90.18%
UE6481006,93.46%
UE6482001,79.51%
UH6312001,82.79%
UM6221012,91.34%
UQ6221008,88.47%
UM6381001,98.26%
UH6220002,71.67%
UM6212003,77.11%
UE6212004,82.27%
UE6212005,76.87%
UG6422003,75.76%
UL6545002,62.82%
UL6545001,70.52%
UT6146006,88.15%
UB6526003,78.67%
UB6526002,83.98%
UB6526004,81.51%
UB6522002,88.28%
UB6523002,81.91%
UE6523003,88.99%
UB6523003,79.76%
UB6524001,83.68%
UB6521002,83.18%
UB6521004,82.11%
UG6525003,85.10%
UD6540001,75.20%
UB6525004,85.14%
UB6862001,Tiada
UJ6343001,95.06%
UD6541001,89.39%
UD6481004,78.08%
UE6481002,90.29%
UB6481001,93.63%
UL6482001,80.74%
UH6481004,77.30%
UH6481003,80.72%
UZ6525001,80.61%
UU6213001,83.93%
UR6213001,69.54%
UL6544001,62.81%
UB6400001,Tiada
UD6621001,75.66%
UG6621002,Tiada
UE6213003,67.85%
UD6545002,70.42%
UB6543001,80.01%
UE6214002,81.41%
UE6214001,73.68%
UE6215001,76.09%
UL6545003,62.48%
UG6400001,66.44%
UL6522001,75.19%
UM6526001,98.80%
UY6526002,85.27%
UE6526002,84.77%
UT6526001,93.84%
UW6526001,86.17%
UM6582001,85.60%
UE6526001,81.24%
US6582001,86.93%
UM6380001,98.48%
UE6380001,96.43%
UY6380001,98.68%
UQ6380001,100.00%
UK6380001,95.43%
UU6380001,93.77%
UM6221011,86.36%
UD6221004,78.70%
UH6220003,69.20%
