course_id,course,min_credits,req_malaysian,pass_bm,pass_history,pass_eng,credit_bm,credit_history,credit_english,credit_math,credit_science,subject_group_req,remarks
50PD010M00P,Bahasa Melayu Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD010M9MP,Bahasa Melayu Pendidikan Rendah Elektif,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
50PD010A00P,Bahasa Arab Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PAI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PAI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD010C00P,Bahasa Cina Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BC""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BC']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD010B00P,Bahasa Iban Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""IBAN""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['IBAN']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD017K00P,Bimbingan dan Kaunseling,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
50PD011M00P,Matematik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""MATH"", ""ADDMATH""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH', 'ADDMATH']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD010E00P,Pengajaran Bahasa Inggeris Sebagai Bahasa,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD016V00P,Pendidikan Seni Visual Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD016V8MP,Pendidikan Seni Visual Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PSV""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PSV']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD017M00P,Pendidikan Muzik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD017M8MP,Pendidikan Muzik Pendidikan Rendah Elektif,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""C in ['BM', 'HISTORY', 'BI']""]"
50PD015A00P,Pendidikan Islam Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PAI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PAI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD016J00P,Pendidikan Jasmani Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD017P00P,Pendidikan Awal Kanak-Kanak,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
50PD017B00P,Pendidikan Khas Masalah Pembelajaran,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
